Price,Bathrooms,Furniture,Tenant Preference,Floor,Flat,Location,Area,Total Floors
70000,3.0,Semi-Furnished,Bachelors,19,3,Hyderabad,Kokapet,35.0
55000,3.0,Furnished,Bachelors/Family,18,3,Hyderabad,Nalagandla,20.0
16000,1.0,Semi-Furnished,Bachelors,2,1,Hyderabad,Kondapur,5.0
29000,3.0,Semi-Furnished,Bachelors,20,3,Hyderabad,Masjid Banda,20.0
90000,3.0,Semi-Furnished,Family,9,3,Hyderabad,Gachibowli,24.0
75000,3.0,Semi-Furnished,Bachelors,18,3,Hyderabad,Kokapet,32.0
75000,4.0,Furnished,Family,4,3,Hyderabad,Telecom Nagar Gachibowli,14.0
35000,3.0,Semi-Furnished,Family,0,3,Hyderabad,Bachupally Hyderabad,31.0
84000,3.0,Furnished,Bachelors,27,3,Hyderabad,Gachibowli,31.0
65000,3.0,Unfurnished,Bachelors/Family,7,3,Hyderabad,Kondapur,18.0
29000,4.0,Semi-Furnished,Family,35,3,Hyderabad,Hitech City,40.0
18000,2.0,Semi-Furnished,Family,3,2,Hyderabad,Anandbagh,4.0
21000,3.0,Semi-Furnished,Bachelors/Family,0,2,Hyderabad,Balram Nagar Hyderabad,24.0
80000,2.0,Furnished,Bachelors/Family,5,3,Hyderabad,Kondapur,24.0
60000,3.0,Unfurnished,Family,13,3,Hyderabad,Kokapet,35.0
59900,2.0,Furnished,Family,8,3,Hyderabad,Narsingi,12.0
10000,1.0,Unfurnished,Family,4,2,Hyderabad,Gajularamaram,5.0
75000,3.0,Unfurnished,Bachelors,0,3,Hyderabad,Chanda Nagar Hyderabad,34.0
85000,3.0,Furnished,Family,17,3,Hyderabad,Gachibowli,34.0
29000,3.0,Semi-Furnished,Bachelors/Family,2,3,Hyderabad,Kondapur,19.0
29000,3.0,Semi-Furnished,Bachelors,9,3,Hyderabad,Gachibowli,18.0
55000,2.0,Semi-Furnished,Family,13,3,Hyderabad,Power Welfare Society,30.0
33000,2.0,Unfurnished,Bachelors,0,3,Hyderabad,Bandlaguda Jagir,4.0
65000,3.0,Unfurnished,Bachelors,0,3,Hyderabad,nn infrastructure leke frent villa Hyderabad,4.0
13900,2.0,Unfurnished,Bachelors,3,2,Hyderabad,Kompally,4.0
55000,4.0,Semi-Furnished,Bachelors/Family,5,3,Hyderabad,Serilingampalle M,8.0
25000,3.0,Semi-Furnished,Family,1,3,Hyderabad,Sainathpuram Hyderabad,3.0
65000,3.0,Semi-Furnished,Bachelors/Family,5,3,Hyderabad,Puppalguda,15.0
60000,3.0,Furnished,Bachelors,4,3,Hyderabad,Kokapet,12.0
80000,4.0,Semi-Furnished,Family,0,3,Hyderabad,Tellapur,14.0
